地区,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年,1994年,1993年,1992年,1991年,1990年,1989年,1988年,1987年,1986年,1985年,1984年,1983年,1982年,1981年,1980年,1979年,1978年,1977年,1976年,1975年,1974年,1973年
湖南,,-1.15,,3.11,5.11,6.19,6.56,6.72,6.63,6.54,6.57,6.55,6.4,6.11,5.4,5.25,5.19,5.15,5.09,4.95,4.86,5.08,4.66,,,,,,,,,,,,,,,,,,,,,,,,,,,
广东,,4.52,,8.08,8.24,9.16,7.44,6.8,6.1,6.02,6.95,6.1,6.97,7.26,7.25,7.3,7.29,7.02,8.01,8.35,8.21,8.83,9.92,,,,,,,,,,,,,,,,,,,,,,,,,,,
广西,,2.88,,7.17,8.16,8.92,7.87,7.9,7.86,7.93,7.89,7.67,8.65,8.53,8.7,8.2,8.34,8.16,7.2,7.29,7,7.73,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
海南,,3.73,,6.76,8.47,8.72,8.57,8.57,8.61,8.69,8.85,8.97,8.98,8.96,8.99,8.91,8.86,8.93,8.98,9.16,9.48,9.47,9.87,,,,,,,,,,,,,,,,,,,,,,,,,,,
重庆,,-1.55,,2.91,3.48,3.91,4.53,3.86,3.62,3.6,4,3.17,2.77,3.7,3.8,3.8,3.4,3,2.85,2.69,3.28,2.8,3.45,,,,,,,,,,,,,,,,,,,,,,,,,,,
四川,,-1.89,,3.61,4.04,4.23,3.49,3.36,3.2,3,2.97,2.98,2.31,2.72,2.39,2.92,2.86,2.9,2.78,3.12,3.89,4.37,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
贵州,,4.98,,6.7,7.05,7.1,6.5,5.8,5.8,5.9,6.31,6.38,7.41,6.96,6.72,6.68,7.26,7.38,8.73,9.04,10.75,11.33,13.06,,,,,,,,,,,,,,,,,,,,,,,,,,,
云南,,1.23,,6.43,6.87,6.85,6.61,6.4,6.2,6.17,6.22,6.35,6.54,6.08,6.32,6.86,6.9,7.97,9,9.8,10.6,10.94,11.48,,,,,,,,,,,,,,,,,,,,,,,,,,,
西藏,,8.7,,10.14,10.64,11.05,10.68,10.65,10.55,10.38,10.27,10.26,10.25,10.24,10.3,11.3,11.7,10.79,11.2,11.1,12.76,12.1,12.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
陕西,,0.51,,4.27,4.43,4.87,4.41,3.82,3.87,3.86,3.88,3.69,3.72,4,4.08,4.05,4.04,4.01,4.26,4.29,4.12,4.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
甘肃,,1.42,,3.85,4.42,6.02,6,6.21,6.1,6.08,6.06,6.05,6.03,6.61,6.54,6.49,6.24,6.02,5.91,6.12,6.71,7.15,7.97,,,,,,,,,,,,,,,,,,,,,,,,,,,
青海,,4.31,,7.58,8.06,8.25,8.52,8.55,8.49,8.03,8.24,8.31,8.63,8.32,8.35,8.8,8.97,9.49,9.87,10.85,11.7,12.62,13.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
宁夏,,5.53,,8.03,7.78,8.69,8.97,8.04,8.57,8.62,8.93,8.97,9.04,9.68,9.69,9.76,10.69,10.98,11.18,10.95,11.56,11.71,11.92,,,,,,,,,,,,,,,,,,,,,,,,,,,
新疆,,0.56,,3.69,6.13,11.4,11.08,11.08,11.47,10.92,10.84,10.57,10.56,10.56,11.17,11.78,10.76,11.38,10.91,10.78,10.87,11.13,12.17,,,,,,,,,,,,,,,,,,,,,,,,,,,
