指标,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年,1994年,1993年,1992年,1991年,1990年,1989年,1988年,1987年,1986年,1985年,1984年,1983年,1982年,1981年,1980年,1979年,1978年,1977年,1976年,1975年,1974年,1973年
城镇登记失业人数(万人),,1040,1160,945,974,972,982,966,952,926,917,922,908,921,886,830,847,839,827,800,770,681,595,575,571,577,553,520,476,420,364,352,383,378,296,277,264,239,236,271,379,440,542,568,530,,,,,
城镇登记失业率(%),,4,4.2,3.6,3.8,3.9,4,4.1,4.1,4.1,4.1,4.1,4.1,4.3,4.2,4,4.1,4.2,4.2,4.3,4,3.6,3.1,3.1,3.1,3.1,3,2.9,2.8,2.6,2.3,2.3,2.5,2.6,2,2,2,1.8,1.9,2.3,3.2,3.8,4.9,5.4,5.3,,,,,
